Time,Ask,Bid,AskVolume,BidVolume
15.11.2012 14:47:47.565,1.27714,1.27707,2.25,3.23
15.11.2012 14:47:49.087,1.27715,1.27709,3.60,5.25
15.11.2012 14:47:49.595,1.27712,1.27707,5.48,2.48
15.11.2012 14:47:50.087,1.27712,1.27705,6.23,2.48
15.11.2012 14:47:51.096,1.27709,1.27700,3.23,3.00
15.11.2012 14:47:51.455,1.27709,1.27702,1.73,2.25
15.11.2012 14:47:51.956,1.27710,1.27704,3.00,1.73
15.11.2012 14:47:52.338,1.27712,1.27705,4.50,2.25
15.11.2012 14:47:52.935,1.27712,1.27706,4.50,2.48
15.11.2012 14:47:54.255,1.27708,1.27703,1.50,4.50
15.11.2012 14:47:54.617,1.27707,1.27701,1.50,1.73
15.11.2012 14:47:54.858,1.27710,1.27702,2.25,1.73
15.11.2012 14:47:55.049,1.27710,1.27705,1.50,1.50
15.11.2012 14:47:55.576,1.27709,1.27702,3.60,1.73
15.11.2012 14:47:55.636,1.27708,1.27702,3.00,1.50
15.11.2012 14:47:55.947,1.27708,1.27702,3.00,1.73
15.11.2012 14:47:56.524,1.27710,1.27703,1.50,1.73
15.11.2012 14:47:57.067,1.27711,1.27704,4.50,1.73
15.11.2012 14:47:57.426,1.27711,1.27703,2.85,3.23
15.11.2012 14:47:57.976,1.27710,1.27703,3.75,2.48
15.11.2012 14:47:58.278,1.27712,1.27706,4.58,1.73
15.11.2012 14:47:59.566,1.27712,1.27705,1.73,2.48
15.11.2012 14:48:00.705,1.27712,1.27707,1.50,2.48
15.11.2012 14:48:01.148,1.27714,1.27707,4.43,1.73
15.11.2012 14:48:01.823,1.27713,1.27708,1.50,2.25
15.11.2012 14:48:01.888,1.27713,1.27708,1.73,2.48
15.11.2012 14:48:02.476,1.27714,1.27708,1.50,6.98
15.11.2012 14:48:02.716,1.27715,1.27710,1.50,1.73
15.11.2012 14:48:03.316,1.27715,1.27709,1.50,2.25
15.11.2012 14:48:03.496,1.27714,1.27709,1.73,1.73
15.11.2012 14:48:03.855,1.27713,1.27706,6.98,3.23
15.11.2012 14:48:03.916,1.27712,1.27707,1.73,1.73
15.11.2012 14:48:04.215,1.27710,1.27705,3.98,1.50
15.11.2012 14:48:04.576,1.27709,1.27705,2.25,1.73
15.11.2012 14:48:05.127,1.27711,1.27706,2.25,1.73
15.11.2012 14:48:06.347,1.27711,1.27706,1.73,1.73
15.11.2012 14:48:06.886,1.27710,1.27706,3.98,1.50
15.11.2012 14:48:07.425,1.27708,1.27704,3.00,1.50
15.11.2012 14:48:07.966,1.27710,1.27704,3.23,1.73
15.11.2012 14:48:08.206,1.27711,1.27704,8.10,1.73
15.11.2012 14:48:08.327,1.27711,1.27704,8.85,1.73
15.11.2012 14:48:08.925,1.27711,1.27705,4.50,2.48
15.11.2012 14:48:09.406,1.27711,1.27703,3.00,3.98
15.11.2012 14:48:09.957,1.27708,1.27703,1.50,1.50
15.11.2012 14:48:10.261,1.27706,1.27695,3.75,3.00
15.11.2012 14:48:10.617,1.27710,1.27699,9.75,3.23
15.11.2012 14:48:10.696,1.27706,1.27700,1.73,1.73
15.11.2012 14:48:11.207,1.27708,1.27703,5.03,3.75
15.11.2012 14:48:11.617,1.27711,1.27703,2.63,3.98
15.11.2012 14:48:11.702,1.27710,1.27704,6.15,2.25
15.11.2012 14:48:12.269,1.27709,1.27704,1.43,1.50
15.11.2012 14:48:12.398,1.27712,1.27704,6.08,3.23
15.11.2012 14:48:12.708,1.27710,1.27704,2.25,1.50
15.11.2012 14:48:12.826,1.27709,1.27703,3.00,1.73
15.11.2012 14:48:14.326,1.27707,1.27702,4.50,2.48
15.11.2012 14:48:15.377,1.27709,1.27704,2.40,2.48
15.11.2012 14:48:15.453,1.27710,1.27704,2.40,3.23
15.11.2012 14:48:15.766,1.27712,1.27706,4.73,1.73
15.11.2012 14:48:15.826,1.27712,1.27706,5.48,1.73
15.11.2012 14:48:15.887,1.27709,1.27704,3.75,2.48
15.11.2012 14:48:16.425,1.27708,1.27704,1.50,1.50
15.11.2012 14:48:16.545,1.27708,1.27704,1.50,1.73
15.11.2012 14:48:17.058,1.27709,1.27704,3.98,3.23
15.11.2012 14:48:17.365,1.27709,1.27702,1.73,7.73
15.11.2012 14:48:17.545,1.27711,1.27705,3.00,1.50
15.11.2012 14:48:17.605,1.27711,1.27706,2.48,1.73
15.11.2012 14:48:18.465,1.27711,1.27706,2.48,1.50
15.11.2012 14:48:18.946,1.27709,1.27704,3.75,2.25
15.11.2012 14:48:19.246,1.27708,1.27705,1.73,1.73
15.11.2012 14:48:19.367,1.27708,1.27705,1.73,1.73
15.11.2012 14:48:19.848,1.27708,1.27703,1.50,4.50
15.11.2012 14:48:20.096,1.27708,1.27702,1.50,3.00
15.11.2012 14:48:20.396,1.27709,1.27705,3.75,1.73
15.11.2012 14:48:20.455,1.27709,1.27705,3.75,1.73
15.11.2012 14:48:20.637,1.27712,1.27706,3.00,2.48
15.11.2012 14:48:20.876,1.27713,1.27707,1.50,1.73
15.11.2012 14:48:21.060,1.27714,1.27708,4.73,1.73
15.11.2012 14:48:21.548,1.27710,1.27706,1.50,2.25
15.11.2012 14:48:21.857,1.27709,1.27704,3.75,1.50
15.11.2012 14:48:22.457,1.27710,1.27706,2.25,1.50
15.11.2012 14:48:23.015,1.27710,1.27706,1.50,1.50
15.11.2012 14:48:23.616,1.27711,1.27704,1.50,1.50
15.11.2012 14:48:24.156,1.27712,1.27704,3.75,2.25
15.11.2012 14:48:24.646,1.27709,1.27702,2.25,1.50
15.11.2012 14:48:25.007,1.27711,1.27704,1.50,1.50
15.11.2012 14:48:25.436,1.27712,1.27707,3.00,3.98
15.11.2012 14:48:25.676,1.27709,1.27705,1.50,5.48
15.11.2012 14:48:25.736,1.27709,1.27703,1.50,3.98
15.11.2012 14:48:26.035,1.27707,1.27700,2.85,6.98
15.11.2012 14:48:26.575,1.27704,1.27700,1.73,4.73
15.11.2012 14:48:26.936,1.27708,1.27702,2.25,7.50
15.11.2012 14:48:26.997,1.27709,1.27704,3.00,5.25
15.11.2012 14:48:27.117,1.27709,1.27705,1.73,1.73
15.11.2012 14:48:28.067,1.27712,1.27707,1.73,3.98
15.11.2012 14:48:28.127,1.27712,1.27707,2.48,3.98
15.11.2012 14:48:28.195,1.27711,1.27708,1.50,3.98
15.11.2012 14:48:29.458,1.27712,1.27708,1.50,1.50
15.11.2012 14:48:30.117,1.27714,1.27709,1.50,4.73
15.11.2012 14:48:30.679,1.27714,1.27710,2.25,1.50
15.11.2012 14:48:30.868,1.27715,1.27710,3.00,2.25
15.11.2012 14:48:32.216,1.27715,1.27710,3.00,1.50
15.11.2012 14:48:32.636,1.27713,1.27708,2.48,1.50
15.11.2012 14:48:33.196,1.27712,1.27706,1.50,3.75
15.11.2012 14:48:33.255,1.27712,1.27706,1.50,3.75
15.11.2012 14:48:33.436,1.27712,1.27707,5.25,1.50
15.11.2012 14:48:33.617,1.27713,1.27707,1.50,3.00
15.11.2012 14:48:33.977,1.27711,1.27706,5.25,2.25
15.11.2012 14:48:34.504,1.27710,1.27704,1.50,2.25
15.11.2012 14:48:35.005,1.27710,1.27705,1.50,2.25
15.11.2012 14:48:37.146,1.27707,1.27702,1.50,3.00
15.11.2012 14:48:37.206,1.27706,1.27702,1.50,2.25
15.11.2012 14:48:37.745,1.27706,1.27701,1.50,1.50
15.11.2012 14:48:38.107,1.27708,1.27702,8.25,1.73
15.11.2012 14:48:38.408,1.27711,1.27705,4.88,2.48
15.11.2012 14:48:38.541,1.27711,1.27705,4.35,2.48
15.11.2012 14:48:38.862,1.27709,1.27705,2.85,2.25
15.11.2012 14:48:39.141,1.27708,1.27705,2.48,1.73
15.11.2012 14:48:39.689,1.27711,1.27705,3.00,3.23
15.11.2012 14:48:39.759,1.27711,1.27705,2.48,3.23
15.11.2012 14:48:40.575,1.27712,1.27707,1.50,2.48
15.11.2012 14:48:41.078,1.27715,1.27709,4.50,1.50
15.11.2012 14:48:41.296,1.27715,1.27709,5.25,1.73
15.11.2012 14:48:41.415,1.27715,1.27710,4.50,1.35
15.11.2012 14:48:41.716,1.27718,1.27711,2.78,4.73
15.11.2012 14:48:42.258,1.27719,1.27712,1.50,1.73
15.11.2012 14:48:42.568,1.27719,1.27712,2.48,1.50
15.11.2012 14:48:42.696,1.27718,1.27710,1.35,5.48
15.11.2012 14:48:43.262,1.27716,1.27711,1.73,1.73
15.11.2012 14:48:44.007,1.27719,1.27713,2.48,5.48
15.11.2012 14:48:44.307,1.27716,1.27712,1.73,2.25
15.11.2012 14:48:44.607,1.27719,1.27712,3.23,1.73
15.11.2012 14:48:45.146,1.27722,1.27716,6.98,1.73
